154	42.8	51.7	58.2	70.5	80.4	89.3
155	40.6	50.6	59.2	70.8	80.7	91.3
156	44.2	51.8	59.6	70.4	81.7	88.6
157	42.5	51.4	56.4	70.2	80.6	89
158	41.9	52.6	60.4	70.1	80.8	88.9
159	41.8	52.9	61.3	69.6	81.6	85.5
160	43	53.4	63.5	70.8	80.6	88.3
161	42.7	54.1	59.5	74.8	81.4	88.8
162	40.2	52.4	59.7	70	80.8	88.9
163	41.9	52.5	58.8	70.4	81.5	88.7
164	44.3	51.2	59	70.4	79.7	88.8
165	43.2	50.1	62	70	80.5	89
166	41.9	50.4	61.9	70.2	80.1	90.7
167	41.4	51.2	62.9	70	78.4	88.6
168	42	50	59.8	70.3	80.5	88.6
169	41.9	49.6	60.5	70.2	80.1	90.3
170	42.4	49.6	61.2	70.1	81.5	88.9
171	40.4	47.1	63.5	69.8	79.8	85.7
172	41.4	50.9	60.5	68.8	78.6	88.7
173	42.5	50.7	61	69.6	80.1	87.8
174	42	50.1	59.2	69.8	80.6	90.1
175	40.5	50.8	63.2	69.8	80.6	89.7
176	39.1	51	57.7	69.4	78.7	86.4
177	42	51.5	62.9	69	79.3	89.9
178	42.6	50.6	63.2	67.6	77.8	90
179	41.8	51.2	60.1	69.3	80.1	85.7
180	39.9	49.3	60.9	69.5	78.8	92.4
181	41.8	51.2	61.8	69	79.6	91.3
182	42.8	50	61	69.7	84.2	88.8
183	42.2	50.1	62	70.3	79.1	89.9
184	42	50.8	61.3	70.7	82.7	86.6
185	41.1	49.5	61.5	69.7	80	88.5
186	41	50.4	62.1	70.1	83.2	91.6
187	39	48.3	63.3	69.7	79.4	88.5
188	40.1	51.3	60.4	70.7	78.9	93
189	46	51.2	58.8	70.1	79.7	86.2
190	42.8	44.9	63.2	69.3	78.9	91.7
191	41.8	49.5	59.3	71.3	79.4	90.2
192	40.7	52.6	61.3	70.8	79.4	88.4
193	40.6	52.3	63.2	70.2	81	89.9
194	41.9	51.3	56.7	70.4	79.5	90.4
195	42.7	51	60.4	71	79.8	89.8
196	41.7	52.6	60.7	71.4	79.4	90.7
197	42.5	50.1	59.6	71.9	79.4	92.4
198	40.3	50	64.3	71.4	78.9	95.9
199	43.1	53.9	64	68.7	78.7	87.6
200	43.3	50.7	61.6	70.8	79.3	90.3
201	42.4	49	66.4	72.1	77.4	93.1
